RxnID,MaxFlux
FEOXAMtonex,17.8048000000044
FEROpp,253.751561082001
FESD1s,19.9999748449454
FESR,39.9999497407944
FLDR2,121.279638854272
FLVR,8.90237336493666
FLVRx,8.90236904470745
FMNAT,0.399808383233489
FMNRx,8.90237059266985
FMNRx2,8.90237193179159
FMNt,0.606428480260139
FMNtex,0.60642851148175
FOMETRi,1000
FORt2pp,222.559260529136
FORtex,24.2559257169022
FORtppi,222.559325698303
FRD2,39.9999504409704
FRD3,39.999947788398
FTHFD,55.6399999999998
FTHFLi,55.6398218627067
FUM,131.279640379035
FUMt1pp,1000
FUMt2_2pp,111.279665903747
FUMt2_3pp,74.1864303197597
FUMtex,4.54202552580386
FUSAtex,222.559301798178
FUSAtpp,222.559299824609
G1PACT,9.08408163265577
G1PP,55.639820812398
G1PTT,0.210226025137783
G1SAT,2.63652173913044
G3PAT120,7.6744573741394
G3PAT140,7.67445823972678
G3PAT141,7.67445936594378
G3PAT160,7.6744568530673
G3PAT161,7.67445806049246
G3PAT180,7.67445923457117
G3PAT181,7.67445607910097
G3PD2,55.6398336822916
G3PD5,38.2849228327781
G3PD6,38.2849240544337
G3PD7,38.2849195286318
G3PEabcpp,3.97427282985112
G3PEtex,1.48372881791707
G3PGabcpp,4.27998676034709
G3PGtex,1.32475768248871
G3PT,55.6398229302396
G5SADs,40.426543692193
G5SD,40.4265436934482
G6PDA,55.6398338431886
G6PDH2r,38.6775
G6PP,55.6398327672382
GALKr,0
GALT1,0.0420451969441198
GALUi,27.819999999998
GALabcpp,-0
GALt2pp,-0
GALtex,0
GAMptspp,0
GAMtex,0
GAPD,18.5466666666689
GAPP,55.6398314282791
GARFT,55.6398223320493
GART,55.6398224970296
GCALDD,0.000140555716962502
GDPDPK,27.8199162504214
GDPMNH,55.6398240457598
GDPMNP,55.6398321927293
GDPTPDP,27.8199123729301
GF6PTA,55.640000000014
GGGABADr,9.67648910377742
GGGABAH,9.67649214106259
GGPTRCO,9.67649048944617
GGPTRCS,9.67649208032718
GHMT2r,11.5958620689651
GK1,55.6399999999999
GLBRAN2,1000
GLCDpp,-0
GLCNt2rpp,0
GLCNtex,0
GLCP,55.6398297848922
GLCP2,55.6398316899802
GLCS1,55.63981307349
GLCTR1,0.042045203673984
GLCTR2,0.0420452014824386
GLCTR3,0.0420451970678653
GLCabcpp,-0
GLCptspp,-0
GLCt2pp,-0
GLCtex_copy1,1000
GLCtex_copy2,999.70807728837
GLDBRAN2,1000
GLGC,55.6398311498657
GLNS,55.6398236775151
GLU5K,40.4265444755684
GLUABUTt7pp,1000
GLUCYS,13.091723538229
GLUDC,17.6744479908866
GLUDy,121.279653157565
GLUN,55.6398208032133
GLUPRT,4.21842234263708
GLUR,3.90456140350875
GLUSy,55.6398263970639
GLUTRR,2.63651306250538
GLUTRS,2.63652173913043
GLUabcpp,74.1866666666859
GLUt2rpp,1000
GLUt4pp,1000
GLUtex,3.17941899089298
GLXCL,15.0853020495192
GLYALDtex,4.04653263863738
GLYALDtpp,4.04653256236388
GLYAT,121.279619285772
GLYBabcpp,44.5118593669618
GLYBt2pp,111.279648316596
GLYBt3pp,111.279640755806
GLYC3Pabcpp,5.56398225712525
GLYC3Pt6pp,6.01511730988971
GLYC3Ptex,2.24807362849185
GLYCAt2rpp,5.15427061193805
GLYCAtex,5.15427057910937
GLYCDx,55.6398247340942
GLYCK,55.6398207865948
GLYCK2,55.639835452583
GLYCL,13.8566666666676
GLYCLTDx,38.285
GLYCLTDy,38.2849999999999
GLYCLTt2rpp,1000
GLYCLTt4pp,1000
GLYCLTtex,8.90237051109103
GLYCTO2,38.284922800255
GLYCTO3,38.2849282646307
GLYCTO4,38.2849284587785
GLYCtex,0
GLYCtpp,11.1279661430855
GLYK,55.6398250592601
GLYOX,18.546607445059
GLYOX3,18.5466097737626
GLYt2pp,222.559288557106
GLYt4pp,222.559321614551
GLYtex,6.55565647661366
GLYtpp,222.559257671768
GMHEPAT,0.168180787777765
GMHEPK,0.168180793655383
GMHEPPA,0.168180784483379
GMPR,24.2559262268467
GMPS,24.2559291380282
GMPS2,17.3256617102614
GND,38.6774144980616
GNK,55.6398077428172
GNP,55.6398247805215
GPDDA2,5.0533175138212
GPDDA2pp,4.19923193831597
GPDDA4,5.56398254355799
GPDDA4pp,4.63665249524972
GRTT,2.78e-10
GRXR,16.9227906976755
GSNK,55.6398262997345
GSNt2pp,111.279649572675
GSNt3pp,111.279665523597
GSNtex,1.21839034647651
GSPMDA,55.6398124126937
GSPMDS,55.6398115547841
GTHOr,18.6584615384616
GTHPi,18.6584615384662
GTHRDHpp,13.0917228662823
GTHRDabc2pp,27.8200000000002
GTHRDabcpp,27.8199162717981
GTHRDtex,1.04551394093811
GTHS,13.0917647058823
GTPCI,6.69000000000044e-10
GTPCII2,0.606430517711113
GTPDPDP,18.5466078475595
GTPDPK,27.8199117692505
GTPHs,13.9099556557321
GUACYC,27.8199122535182
GUAD,13.909955528384
GUAPRT,27.8199146857925
GUAt2pp,222.559296412736
GUAtex,2.47288122617817
GUAtpp,222.559292723496
H2Otex,532.364401340951
H2Otpp,51.7941846840659
H2SO,4.664600823742
H2St1pp,4.75606453162283
H2Stex,4.75606327714764
HACD1,2.53988509438038
HACD2,2.53988775463233
HACD3,2.53988776829692
HACD4,4.58885198955167
HACD5,6.64356216152623
HACD6,6.64356029385895
HACD7,6.64356188566457
HACD8,6.6435612209243
HBZOPT,4.68520075348196e-05
HCO3E,55.6399999999999
HCYSMT,9.40391422693486
